output_name,epoch,time,load_1,load_5,load_15,memory_free,cpu-user,cpu-system,cpu-steal,cpu-softirq,cpu-nice,cpu-irq,cpu-iowait,cpu-idle,cpu_percentage
dafav1,1678090023,2023-03-06 15:07:03 ,3.98,3.98,4.0,183934976.0,965454.53,11838.02,831.8599999999999,6246.98,125.03,0.0,101.09,784533.4,79.74799689336581
dafav1,1678090143,2023-03-06 15:09:03 ,4.33,4.14,4.06,239099904.0,965898.0700000001,11860.130000000001,831.99,6261.219999999999,125.03,0.0,101.09,784533.4,79.70911404891913
dafav1,1678090263,2023-03-06 15:11:03 ,4.37,4.17,4.07,199258112.0,966354.9400000001,11873.88,832.42,6270.2,125.03,0.0,101.09,784533.4,79.6702925650908
dafav1,1678090383,2023-03-06 15:13:03 ,4.15,4.19,4.09,214380544.0,966820.0,11883.19,832.5799999999999,6275.700000000001,125.03,0.0,101.09,784533.4,79.63148705465882
dafav1,1678090503,2023-03-06 15:15:03 ,4.79,4.52,4.23,241438720.0,967245.1900000001,11907.09,833.04,6291.160000000001,125.03,0.0,101.1,784547.64,79.59540031250026
dafav1,1678090623,2023-03-06 15:17:03 ,5.6,4.76,4.34,216625152.0,967705.72,11919.23,833.23,6298.360000000001,125.03,0.0,101.1,784547.64,79.55666840920176
dafav1,1678090743,2023-03-06 15:19:03 ,4.32,4.59,4.33,236769280.0,968168.2,11930.3,833.41,6304.639999999999,125.03,0.0,101.1,784547.64,79.51797740604229
dafav1,1678090863,2023-03-06 15:21:03 ,4.73,4.66,4.38,240304128.0,968606.1699999999,11955.64,833.5699999999999,6321.219999999999,125.03,0.0,101.1,784547.64,79.47931918694789
dafav1,1678090983,2023-03-06 15:23:03 ,4.54,4.55,4.37,198684672.0,969071.2,11965.18,833.6700000000001,6326.56,125.03,0.0,101.1,784547.64,79.44069692873373
dafav1,1678091103,2023-03-06 15:25:03 ,3.87,4.38,4.33,236265472.0,969504.9199999999,11977.849999999999,833.8199999999999,6334.349999999999,125.03,0.0,101.1,784573.32,79.40677900486645
dafav1,1678091223,2023-03-06 15:27:03 ,4.55,4.5,4.38,234295296.0,969944.52,12002.2,833.94,6350.300000000001,125.03,0.0,101.1,784573.32,79.36822926200564
dafav1,1678091343,2023-03-06 15:29:03 ,4.55,4.44,4.37,210640896.0,970416.02,12007.57,834.03,6353.4,125.03,0.0,101.1,784573.32,79.3297113157742
dafav1,1678091463,2023-03-06 15:31:03 ,4.24,4.43,4.38,315174912.0,970877.9000000001,12018.59,834.2,6360.360000000001,125.03,0.0,101.1,784573.32,79.29123955219521
dafav1,1678091583,2023-03-06 15:33:03 ,4.69,4.54,4.42,318582784.0,971321.0,12041.17,834.32,6374.58,125.03,0.0,101.1,784573.32,79.25280188283422
dafav1,1678091703,2023-03-06 15:35:03 ,3.97,4.32,4.35,289464320.0,971769.46,12047.13,834.4399999999999,6377.64,125.03,0.0,101.1,784595.71,79.21845528296691
dafav1,1678091823,2023-03-06 15:37:03 ,4.19,4.33,4.35,325173248.0,972222.98,12063.32,834.5799999999999,6387.8,125.03,0.0,101.1,784595.71,79.18009162234225
dafav1,1678091943,2023-03-06 15:39:03 ,4.9,4.55,4.43,235880448.0,972662.8600000001,12088.140000000001,834.72,6402.9800000000005,125.03,0.0,101.1,784595.71,79.14176430269515
dafav1,1678092063,2023-03-06 15:41:03 ,4.2,4.38,4.38,188485632.0,973137.1399999999,12091.87,834.9100000000001,6404.85,125.03,0.0,101.1,784595.71,79.10347406996425
dafav1,1678092183,2023-03-06 15:43:03 ,4.27,4.4,4.39,223346688.0,973586.51,12110.32,835.05,6416.9,125.03,0.0,101.1,784595.71,79.06522166710103
dafav1,1678092303,2023-03-06 15:45:03 ,4.73,4.51,4.42,219365376.0,974024.78,12135.210000000001,835.1899999999999,6433.629999999999,125.03,0.0,101.1,784595.71,79.02700465013915
dafav1,1678092423,2023-03-06 15:47:03 ,4.15,4.35,4.37,214081536.0,974502.1399999999,12137.18,835.4,6434.11,125.03,0.0,101.1,784595.71,78.98883092226478
dafav1,1678092543,2023-03-06 15:49:03 ,4.52,4.57,4.46,238616576.0,974942.47,12160.57,835.51,6450.32,125.03,0.0,101.1,784595.71,78.95068452257956
dafav1,1678092663,2023-03-06 15:51:03 ,4.92,4.66,4.5,183549952.0,975383.33,12184.07,835.73,6465.77,125.03,0.0,101.1,784595.71,78.91258447368811
dafav1,1678092783,2023-03-06 15:53:03 ,4.12,4.43,4.43,232534016.0,975861.38,12185.73,835.8800000000001,6465.97,125.03,0.0,101.1,784595.71,78.87451325056342
dafav1,1678092903,2023-03-06 15:55:03 ,4.3,4.42,4.43,241311744.0,976304.7999999999,12207.880000000001,836.02,6480.27,125.03,0.0,101.1,784595.71,78.83648191310802
dafav1,1678093023,2023-03-06 15:57:03 ,4.98,4.55,4.47,208654336.0,976752.23,12227.53,836.21,6493.030000000001,125.03,0.0,101.1,784595.71,78.7984896076818
dafav1,1678093143,2023-03-06 15:59:03 ,3.82,4.31,4.39,245923840.0,977219.27,12231.43,836.32,6494.63,125.03,0.0,101.1,784603.06,78.76184888894528
dafav1,1678093263,2023-03-06 16:01:03 ,4.39,4.46,4.44,245002240.0,977646.41,12252.83,836.93,6509.0599999999995,125.03,0.0,101.1,784619.51,78.72691193299433
dafav1,1678093383,2023-03-06 16:03:03 ,5.27,4.64,4.5,193794048.0,978097.45,12270.17,837.06,6520.570000000001,125.03,0.0,101.1,784619.51,78.68902233798026
dafav1,1678093503,2023-03-06 16:05:03 ,4.18,4.43,4.44,250368000.0,978567.81,12276.24,837.2,6524.06,125.03,0.0,101.1,784619.51,78.65116683111562
dafav1,1678093623,2023-03-06 16:07:03 ,4.27,4.43,4.44,239759360.0,979013.22,12297.369999999999,837.34,6537.389999999999,125.03,0.0,101.1,784619.51,78.61335166784359
dafav1,1678093743,2023-03-06 16:09:03 ,4.48,4.39,4.42,202416128.0,979467.63,12312.54,837.45,6547.74,125.03,0.0,101.1,784619.51,78.57556812849107
dafav1,1678093863,2023-03-06 16:11:03 ,4.26,4.43,4.43,229810176.0,979933.22,12320.84,838.47,6552.83,125.03,0.0,101.1,784619.51,78.53789557426241
dafav1,1678093983,2023-03-06 16:13:03 ,5.41,4.87,4.6,241598464.0,980375.9099999999,12343.460000000001,838.68,6567.36,125.03,0.0,101.1,784619.51,78.50019158332792
dafav1,1678094103,2023-03-06 16:15:03 ,4.74,4.72,4.57,193622016.0,980834.21,12356.79,838.8,6575.629999999999,125.03,0.0,101.1,784619.51,78.46251906863806
dafav1,1678094223,2023-03-06 16:17:03 ,4.3,4.59,4.54,236187648.0,981297.83,12366.86,839.17,6581.570000000001,125.03,0.0,101.1,784619.51,78.42490385966573
dafav1,1678094343,2023-03-06 16:19:03 ,4.82,4.7,4.58,216596480.0,981742.7200000001,12388.07,839.35,6595.349999999999,125.03,0.0,101.1,784619.51,78.38730512095246
