time,method,path,concurrency,iteration,transactions,availability,elapsed_time,data_transferred,response_time,transaction_rate,throughput,successful_transactions,failed_transactions,longest_transaction,shortest_transaction
2023-03-06 15:07:03 WIB,GET,/node,199.59,1,153775,100.0,59.29,122.16,0.08,2593.61,2.06,153775,0,0.2,0.0
2023-03-06 15:10:06 WIB,GET,/node,199.64,2,152325,100.0,59.79,121.01,0.08,2547.67,2.02,152325,0,0.18,0.02
2023-03-06 15:13:09 WIB,GET,/node,199.6,3,187152,100.0,59.9,148.68,0.06,3124.41,2.48,187152,0,0.18,0.03
2023-03-06 15:16:12 WIB,GET,/node,199.56,4,142907,100.0,59.68,113.53,0.08,2394.55,1.9,142907,0,0.17,0.03
2023-03-06 15:19:15 WIB,GET,/node,199.63,5,207647,100.0,59.75,164.96,0.06,3475.26,2.76,207647,0,0.18,0.02
2023-03-06 15:22:18 WIB,GET,/node,399.08,1,153690,100.0,59.7,122.09,0.16,2574.37,2.05,153690,0,1.17,0.09
2023-03-06 15:25:21 WIB,GET,/node,399.12,2,192364,100.0,59.79,152.82,0.12,3217.33,2.56,192364,0,1.15,0.01
2023-03-06 15:28:24 WIB,GET,/node,398.23,3,102355,100.0,59.82,81.31,0.23,1711.05,1.36,102355,0,1.16,0.0
2023-03-06 15:31:27 WIB,GET,/node,398.71,4,156161,100.0,59.76,124.06,0.15,2613.14,2.08,156161,0,1.16,0.02
2023-03-06 15:34:30 WIB,GET,/node,398.82,5,140917,100.0,59.76,111.95,0.17,2358.05,1.87,140917,0,1.21,0.05
2023-03-06 15:37:33 WIB,GET,/node,597.45,1,184093,100.0,59.71,146.25,0.19,3083.12,2.45,184093,0,3.17,0.05
2023-03-06 15:40:36 WIB,GET,/node,596.34,2,149687,100.0,59.62,118.91,0.24,2510.68,1.99,149687,0,3.21,0.02
2023-03-06 15:43:39 WIB,GET,/node,597.35,3,206018,100.0,59.73,163.66,0.17,3449.15,2.74,206018,0,8.53,0.08
2023-03-06 15:46:42 WIB,GET,/node,597.93,4,203649,100.0,59.65,161.78,0.18,3414.07,2.71,203649,0,4.33,0.0
2023-03-06 15:49:45 WIB,GET,/node,597.0,5,184450,100.0,59.8,146.53,0.19,3084.45,2.45,184450,0,8.44,0.08
2023-03-06 15:52:48 WIB,GET,/node,793.57,1,149239,100.0,59.71,118.56,0.32,2499.4,1.99,149239,0,11.58,0.0
2023-03-06 15:55:51 WIB,GET,/node,794.94,2,144044,100.0,59.75,114.43,0.33,2410.78,1.92,144044,0,11.61,0.06
2023-03-06 15:58:54 WIB,GET,/node,794.89,3,150971,100.0,59.73,119.93,0.31,2527.56,2.01,150971,0,7.88,0.12
2023-03-06 16:01:57 WIB,GET,/node,794.31,4,158716,100.0,59.71,126.09,0.3,2658.11,2.11,158716,0,7.22,0.11
2023-03-06 16:05:00 WIB,GET,/node,795.49,5,139624,100.0,59.57,110.92,0.34,2343.86,1.86,139624,0,5.8,0.14
2023-03-06 16:08:03 WIB,GET,/node,990.45,1,173111,100.0,59.73,137.52,0.34,2898.23,2.3,173111,0,15.97,0.06
2023-03-06 16:11:06 WIB,GET,/node,992.6,2,155473,100.0,59.49,123.51,0.38,2613.43,2.08,155473,4,9.84,0.1
2023-03-06 16:14:09 WIB,GET,/node,991.77,3,155334,100.0,59.64,123.4,0.38,2604.53,2.07,155334,7,11.89,0.07
2023-03-06 16:17:12 WIB,GET,/node,991.43,4,143994,100.0,59.69,114.39,0.41,2412.36,1.92,143994,0,12.56,0.05
2023-03-06 16:20:15 WIB,GET,/node,992.19,5,185260,100.0,59.79,147.17,0.32,3098.51,2.46,185260,0,10.17,0.1
2023-03-06 16:23:18 WIB,GET,/node/1,199.66,1,161472,100.0,59.64,96.09,0.07,2707.44,1.61,161472,0,0.2,0.02
2023-03-06 16:26:21 WIB,GET,/node/1,199.65,2,164011,100.0,59.83,97.6,0.07,2741.28,1.63,164011,0,0.2,0.03
2023-03-06 16:29:24 WIB,GET,/node/1,199.63,3,192475,100.0,59.84,114.54,0.06,3216.49,1.91,192475,0,0.21,0.02
2023-03-06 16:32:27 WIB,GET,/node/1,185.68,4,0,0.0,0.57,0.15,0.0,0.0,0.27,0,1223,0.17,0.0
2023-03-06 16:34:31 WIB,GET,/node/1,199.65,5,177932,100.0,59.88,105.89,0.07,2971.48,1.77,177932,0,0.15,0.03
2023-03-06 16:37:34 WIB,GET,/node/1,399.19,1,222080,100.0,59.71,132.16,0.11,3719.31,2.21,222080,0,1.15,0.05
2023-03-06 16:40:37 WIB,GET,/node/1,399.09,2,163304,100.0,59.71,97.18,0.15,2734.95,1.63,163304,0,1.19,0.07
2023-03-06 16:43:40 WIB,GET,/node/1,398.92,3,162075,100.0,59.63,96.45,0.15,2718.01,1.62,162075,0,1.15,0.02
2023-03-06 16:46:43 WIB,GET,/node/1,399.16,4,149267,100.0,59.67,88.83,0.16,2501.54,1.49,149267,0,1.21,0.09
2023-03-06 16:49:46 WIB,GET,/node/1,398.97,5,147545,100.0,59.67,87.8,0.16,2472.68,1.47,147545,0,1.17,0.08
2023-03-06 16:52:49 WIB,GET,/node/1,596.83,1,139560,100.0,59.55,83.05,0.25,2343.58,1.39,139560,0,5.71,0.09
2023-03-06 16:55:52 WIB,GET,/node/1,493.78,2,0,0.0,0.83,0.2,0.0,0.0,0.25,0,1623,0.47,0.0
2023-03-06 16:57:56 WIB,GET,/node/1,596.97,3,155049,100.0,59.66,92.27,0.23,2598.88,1.55,155049,0,3.21,0.01
2023-03-06 17:00:59 WIB,GET,/node/1,597.06,4,164533,100.0,59.65,97.91,0.22,2758.31,1.64,164533,0,3.63,0.09
2023-03-06 17:04:01 WIB,GET,/node/1,596.99,5,145188,100.0,59.03,86.4,0.24,2459.56,1.46,145188,0,3.22,0.06
2023-03-06 17:07:04 WIB,GET,/node/1,796.96,1,171900,100.0,59.47,102.3,0.28,2890.53,1.72,171900,0,5.23,0.08
2023-03-06 17:10:07 WIB,GET,/node/1,794.43,2,149579,100.0,59.58,89.01,0.32,2510.56,1.49,149579,0,11.42,0.1
2023-03-06 17:13:10 WIB,GET,/node/1,795.52,3,168895,100.0,59.62,100.51,0.28,2832.86,1.69,168895,0,5.24,0.11
2023-03-06 17:16:13 WIB,GET,/node/1,795.26,4,154162,100.0,59.69,91.74,0.31,2582.71,1.54,154162,0,6.3,0.12
2023-03-06 17:19:16 WIB,GET,/node/1,794.65,5,156486,100.0,59.7,93.12,0.3,2621.21,1.56,156486,0,7.47,0.12
2023-03-06 17:22:19 WIB,GET,/node/1,993.17,1,182232,100.0,59.71,108.44,0.33,3051.95,1.82,182232,0,5.84,0.07
2023-03-06 17:25:22 WIB,GET,/node/1,991.41,2,215324,100.0,59.68,128.14,0.27,3607.98,2.15,215324,0,9.11,0.08
2023-03-06 17:28:25 WIB,GET,/node/1,989.9,3,113930,100.0,59.6,67.8,0.52,1911.58,1.14,113930,0,14.88,0.01
2023-03-06 17:31:28 WIB,GET,/node/1,991.23,4,148346,100.0,59.7,88.28,0.4,2484.86,1.48,148346,0,8.59,0.02
2023-03-06 17:34:31 WIB,GET,/node/1,992.95,5,175416,100.0,59.58,104.39,0.34,2944.21,1.75,175416,0,8.71,0.13
2023-03-06 17:47:34 WIB,GET,/sensor,199.7,1,160986,100.0,59.64,636.68,0.07,2699.3,10.68,160986,0,0.24,0.02
2023-03-06 17:50:37 WIB,GET,/sensor,199.65,2,186887,100.0,59.82,739.12,0.06,3124.16,12.36,186887,0,0.22,0.02
2023-03-06 17:53:40 WIB,GET,/sensor,199.66,3,162981,100.0,59.79,644.57,0.07,2725.89,10.78,162981,0,0.17,0.02
