time,method,path,concurrency,iteration,transactions,availability,elapsed_time,data_transferred,response_time,transaction_rate,throughput,successful_transactions,failed_transactions,longest_transaction,shortest_transaction
2023-03-07 03:31:16 WIB,GET,/node,190.54,1,2034,100.0,59.54,2.32,5.58,34.16,0.04,2034,0,6.82,0.21
2023-03-07 03:34:19 WIB,GET,/node,189.73,2,2041,100.0,59.56,2.32,5.54,34.27,0.04,2041,0,6.83,0.19
2023-03-07 03:37:22 WIB,GET,/node,190.44,3,2061,100.0,59.54,2.35,5.5,34.62,0.04,2061,0,6.37,0.19
2023-03-07 03:40:25 WIB,GET,/node,190.61,4,2046,100.0,59.46,2.33,5.54,34.41,0.04,2046,0,6.46,0.25
2023-03-07 03:43:28 WIB,GET,/node,189.69,5,2068,100.0,59.66,2.35,5.47,34.66,0.04,2068,0,6.56,0.16
2023-03-07 03:46:31 WIB,GET,/node,361.93,1,2053,100.0,59.48,2.34,10.49,34.52,0.04,2053,0,13.14,0.21
2023-03-07 03:49:34 WIB,GET,/node,359.72,2,1984,100.0,59.41,2.26,10.77,33.4,0.04,1984,0,13.67,0.26
2023-03-07 03:52:37 WIB,GET,/node,362.71,3,2039,100.0,59.54,2.32,10.59,34.25,0.04,2039,0,12.91,0.27
2023-03-07 03:55:40 WIB,GET,/node,360.46,4,2069,100.0,59.37,2.36,10.34,34.85,0.04,2069,0,12.17,0.21
2023-03-07 03:58:43 WIB,GET,/node,360.24,5,2108,100.0,59.45,2.4,10.16,35.46,0.04,2108,0,12.1,0.15
2023-03-07 04:01:46 WIB,GET,/node,515.5,1,2122,100.0,59.24,2.42,14.39,35.82,0.04,2122,0,17.35,0.17
2023-03-07 04:04:49 WIB,GET,/node,512.46,2,2052,100.0,59.3,2.34,14.81,34.6,0.04,2052,0,18.09,0.24
2023-03-07 04:07:52 WIB,GET,/node,533.85,3,2215,100.0,59.37,2.52,14.31,37.31,0.04,2215,0,17.91,0.18
2023-03-07 04:10:55 WIB,GET,/node,512.69,4,2071,100.0,59.36,2.36,14.7,34.89,0.04,2071,0,18.31,0.2
2023-03-07 04:13:58 WIB,GET,/node,514.0,5,2093,100.0,59.35,2.38,14.58,35.27,0.04,2093,0,17.65,0.23
2023-03-07 04:17:01 WIB,GET,/node,647.43,1,2065,100.0,59.05,2.35,18.51,34.97,0.04,2065,0,23.69,0.15
2023-03-07 04:20:04 WIB,GET,/node,643.31,2,2106,100.0,59.1,2.4,18.05,35.63,0.04,2106,0,22.72,0.22
2023-03-07 04:23:07 WIB,GET,/node,645.59,3,2133,100.0,59.2,2.43,17.92,36.03,0.04,2133,0,22.23,0.22
2023-03-07 04:26:10 WIB,GET,/node,646.67,4,2120,100.0,59.34,2.41,18.1,35.73,0.04,2120,0,23.17,0.31
2023-03-07 04:29:13 WIB,GET,/node,639.48,5,2063,100.0,59.04,2.35,18.3,34.94,0.04,2063,0,23.17,0.12
2023-03-07 04:32:16 WIB,GET,/node,753.18,1,2103,100.0,59.21,2.4,21.21,35.52,0.04,2104,0,28.58,0.27
2023-03-07 04:35:19 WIB,GET,/node,759.43,2,2117,100.0,59.16,2.41,21.22,35.78,0.04,2117,0,28.42,0.25
2023-03-07 04:38:22 WIB,GET,/node,781.59,3,2238,100.0,59.11,2.55,20.64,37.86,0.04,2238,0,27.63,0.25
2023-03-07 04:41:25 WIB,GET,/node,768.53,4,2182,100.0,59.24,2.48,20.87,36.83,0.04,2182,0,27.58,0.2
2023-03-07 04:44:28 WIB,GET,/node,757.27,5,2120,100.0,59.34,2.41,21.2,35.73,0.04,2120,0,29.0,0.19
2023-03-07 04:47:31 WIB,GET,/node/1,188.07,1,1555,100.0,59.34,0.99,7.18,26.2,0.02,1555,0,8.38,0.29
2023-03-07 04:50:34 WIB,GET,/node/1,187.97,2,1577,100.0,59.46,1.0,7.09,26.52,0.02,1577,0,8.59,0.31
2023-03-07 04:53:37 WIB,GET,/node/1,187.86,3,1574,100.0,59.4,1.0,7.09,26.5,0.02,1574,0,8.49,0.24
2023-03-07 04:56:40 WIB,GET,/node/1,187.73,4,1551,100.0,59.57,0.98,7.21,26.04,0.02,1551,0,8.84,0.25
2023-03-07 04:59:43 WIB,GET,/node/1,187.23,5,1506,100.0,59.42,0.96,7.39,25.35,0.02,1506,0,9.24,0.32
2023-03-07 05:02:46 WIB,GET,/node/1,351.07,1,1664,100.0,59.47,1.06,12.55,27.98,0.02,1664,0,14.91,0.32
2023-03-07 05:05:49 WIB,GET,/node/1,353.41,2,1652,100.0,59.47,1.05,12.72,27.78,0.02,1652,0,15.12,0.36
